번호,설치년도,노선,이정,방향,명칭
103,2012,경부선,214.6,서울,추풍령
104,2016,대전남부순환선,12.4,산내,산내
105,2012,서해안선,265.9,목포,당진
106,2012,서해안선,265.6,서울,당진
107,2012,서해안선,257.9,서울,용연
108,2012,서해안선,230.8,목포,고북
109,2012,서해안선,229.2,서울,갈산
110,2018,서해안선,251.6,목포,서산
111,2015,당진영덕선(당진대전),81.4,대전,금남
112,2015,서천공주선,10.8,서천,시초
113,2015,서천공주선,34.9,공주,부여
114,2013,호남선,172.1,순천,삼례
115,2012,호남선,174.4,천안,삼례
116,2012,호남선,168.4,순천,전주
117,2013,호남선,168.4,천안,전주
118,2014,호남선,162.1,천안,서전주
119,2011,호남선,142.1,천안,태인
120,2013,호남선,137.8,순천,정우
121,2013,호남선,137.8,천안,정우
122,2013,호남선,118.9,순천,내장산
123,2012,호남선,123.6,천안,내장산
124,2016,새만금포항선(익산장수),34.8,익산,마이산
125,2016,새만금포항선(익산장수),35.4,장수,마이산
126,2012,통영대전선,176.3,통영,금산
127,2012,통영대전선,179,대전,금산
128,2011,통영대전선,160.3,통영,무주
129,2021,통영대전선,157.4,대전,무주
130,2012,호남지선,11.2,논산,논산
131,2012,호남지선,9.8,회덕,논산
132,2014,새만금포항지선,2,익산,완주
133,2014,새만금포항지선,2,장수,완주
134,2011,서해안선,126.7,목포,서김제
135,2011,서해안선,126.7,서울,서김제
136,2014,서해안선,91.7,목포,줄포
137,2014,서해안선,68,목포,고창
138,2012,서해안선,211.4,서울,광천
139,2012,서해안선,186.4,서울,무창포
140,2014,서해안선,176.1,목포,춘장대
141,2012,서해안선,176.4,서울,춘장대
142,2012,서해안선,154.8,목포,서천
143,2012,서해안선,154.4,서울,서천
144,2014,광주대구선,8.8,대구,담양
145,2011,호남선,97.2,순천,장성
146,2011,호남선,97.4,천안,장성
147,2022,호남선,70.9,천안,동광주
148,2012,호남선,61.5,순천,대덕
149,2015,호남선,43.2,천안,삼기
150,2015,호남선,43.2,순천,삼기
151,2016,고창담양선,14.2,고창,장성물류
152,2016,고창담양선,14.1,담양,장성물류
153,2011,고창담양선,32.4,고창,태령
154,2011,고창담양선,32.4,담양,태령
155,2011,호남선,20.3,천안,주암
156,2015,호남선,20.3,순천,주암
157,2016,남해선(순천부산),1.4,순천,순천
158,2012,남해선(순천부산),10.8,순천,광양
159,2011,남해선(순천부산),10.8,부산,광양
160,2012,서해안선,51.7,서울,영광
161,2012,서해안선,16.6,목포,몽탄
162,2012,서해안선,17.5,서울,몽탄
163,2013,남해선(영암순천),87.8,영암,벌교
164,2013,남해선(영암순천),25.3,순천,강진
165,2014,남해선(영암순천),23.4,영암,강진
166,2015,광주대구선,39.6,광주,대강
167,2012,경부선,207.4,부산,봉산
168,2012,경부선,207.1,서울,봉산
169,2011,경부선,189.9,부산,대신
170,2012,경부선,189.9,서울,대신
171,2012,경부선,178,부산,선기
172,2012,경부선,178,서울,선기
173,2012,경부선,162.6,서울,석적
174,2018,경부선,145,서울,지천
175,2011,경부선,130.5,부산,검단
176,2011,경부선,130.5,서울,검단
177,2018,경부선,92.7,부산,북안
178,2018,경부선,92.2,서울,북안
179,2018,경부선,146,부산,하빈
180,2022,대구외곽순환선,9.97,달서,칠곡
181,2022,대구외곽순환선,12.3,동대구,칠곡
182,2022,대구외곽순환선,31.28,달서,봉무
183,2022,대구외곽순환선,31.46,동대구,봉무
184,2012,중앙선,166.8,부산,안평
185,2012,중앙선,166.8,춘천,안평
186,2011,중앙선,136.8,부산,명곡
187,2011,중앙선,136.8,춘천,명곡
188,2015,중앙선,115.3,춘천,읍내
189,2012,새만금포항선(대구포항),25.5,포항,화산
190,2015,광주대구선,111.79,광주,남상
191,2015,광주대구선,115.49,대구,남상
192,2015,광주대구선,151.14,광주,쌍림
193,2015,광주대구선,157.76,대구,고령
194,2015,중앙선,210.4,춘천,보문
195,2015,중앙선,198.6,부산,풍산
196,2013,중앙선,243.8,부산,죽령
197,2013,중앙선,243.8,춘천,죽령
198,2012,중부내륙선,118.5,내서,아포
199,2012,중부내륙선,120.2,양평,선산
200,2014,중부내륙선,106,내서,오봉
201,2012,중부내륙선,55.6,양평,개진
202,2016,당진영덕선(청주영덕),111.8,영덕,삼춘
203,2016,당진영덕선(청주영덕),123.4,청주,하화
204,2016,당진영덕선(청주영덕),145.3,영덕,묵계
205,2016,당진영덕선(청주영덕),169.4,청주,지품
206,2016,당진영덕선(청주영덕),173.3,영덕,수암
207,2017,부산외곽순환선,47.7,기장,일광
208,2017,부산외곽순환선,47.8,창원,일광
209,2016,남해선(순천부산),153.8,순천,김해
210,2016,남해선(순천부산),153.8,부산,김해
211,2014,남해선(순천부산),126,부산,북창원
212,2011,남해선(순천부산),141.2,부산,진례
213,2011,남해선(순천부산),141.7,순천,진례
214,2011,남해1지선,15.3,산인,창원
215,2011,남해1지선,15.3,창원,창원
216,2011,남해선(순천부산),49.8,순천,곤양
217,2011,남해선(순천부산),49.8,부산,곤양
218,2013,남해선(순천부산),85.8,순천,지수
219,2012,남해선(순천부산),86.1,부산,지수
220,2015,통영대전선,121.1,통영,서하
221,2015,통영대전선,120.1,하남,서하
222,2012,통영대전선,101.7,통영,수동
223,2014,통영대전선,101.7,하남,수동
224,2012,통영대전선,90.8,통영,금서
225,2015,통영대전선,90.8,하남,금서
226,2014,통영대전선,57.3,하남,진주
227,2014,통영대전선,57.3,통영,진주
228,2014,울산선,4,언양,울산
229,2012,울산선,4,울산,울산
230,2011,중부내륙선,51.2,창원,현풍
231,2014,중부내륙선,34,양평,창녕
232,2015,중부내륙선,36,창원,창녕
233,2012,통영대전선,39.8,통영,금곡
234,2015,통영대전선,39.6,하남,금곡
235,2015,통영대전선,16,통영,고성
236,2014,통영대전선,16,하남,고성
237,2018,경부선,61.8,서울,내남
238,2018,경부선,43.2,부산,언양
239,2012,경부선,37.5,서울,삼남
240,2015,경부선,13.8,부산,양산
241,2014,경부선,13.7,서울,양산
242,2023,당진영덕선(당진청주),35.7,당진,배방
243,2023,당진영덕선(당진청주),35.6,청주,배방
244,2023,광주대구선,90.3,광주,함양
245,2024,수도권제2순환선,14.6,파주,서양주
246,2024,수도권제2순환선,14.6,양주,서양주
247,2024,세종포천선,89.2,세종,양지
248,2024,세종포천선,89.2,포천,양지
