"졸음쉼터명",시도명,시군구명,도로종류,도로노선명,도로노선번호,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,총연장,주차면수,화장실유무,방범용CCTV수,기타편의시설,관리기관명,관리기관전화번호,데이터기준일자
"오산",09,오산시,01,경부선,1,부산기점 + 서울종점,경기도 오산시 부산동 418-1,경기도 오산시 부산동 418-1,37.15924889,127.0882175,,23,Y,,,한국도로공사 수도권본부,02-2219-6000,2019-05-31
"남사",09,용인시,01,경부선,1,서울기점 + 부산종점,경기도 용인시 처인구 남사면 진목리 415-6,경기도 용인시 처인구 남사면 진목리 415-6,37.09788522,127.1199803,,11,Y,,,한국도로공사 수도권본부,02-2219-6000,2019-05-31
"원곡",09,평택시,01,경부선,1,부산기점 + 서울종점,경기도 평택시 용이동 419-15,경기도 평택시 용이동 419-15,37.00295992,127.150934,,14,Y,,,한국도로공사 수도권본부,02-2219-6000,2019-05-31
"번천",09,광주시,01,중부선,35,하남기점 + 통영종점,경기도 광주시 남한산성면 광지원리 306-1,경기도 광주시 남한산성면 광지원리 306-1,37.4513253,127.2592429,,19,Y,,,한국도로공사 수도권본부,02-2219-6000,2019-05-31
"번천",09,광주시,01,중부선,35,통영기점 + 하남종점,경기도 광주시 남한산성면 광지원리 306-1,경기도 광주시 남한산성면 광지원리 306-1,37.4513253,127.2592429,,16,Y,,,한국도로공사 수도권본부,02-2219-6000,2019-05-31
"도척",09,광주시,01,중부선,35,하남기점 + 통영종점,경기도 광주시 도척면 진우리 482-1,경기도 광주시 도척면 진우리 482-1,37.321461,127.3395934,,10,N,,,한국도로공사 수도권본부,02-2219-6000,2019-05-31
"도척",09,광주시,01,중부선,35,통영기점 + 하남종점,경기도 광주시 도척면 진우리 482-1,경기도 광주시 도척면 진우리 482-1,37.321461,127.3395934,,12,N,,,한국도로공사 수도권본부,02-2219-6000,2019-05-31
"상번천",09,광주시,01,제2중부선,37,하남기점 + 통영종점,경기도 광주시 남한산성면 상번천리 315-2,경기도 광주시 남한산성면 상번천리 315-2,37.45005848,127.2711727,,34,Y,,,한국도로공사 수도권본부,02-2219-6000,2019-05-31
"상번천",09,광주시,01,제2중부선,37,통영기점 + 하남종점,경기도 광주시 남한산성면 상번천리 245,경기도 광주시 남한산성면 상번천리 245,37.45005848,127.2711727,,8,Y,,,한국도로공사 수도권본부,02-2219-6000,2019-05-31
"청계",09,의왕시,01,서울외곽선,100,판교기점 + 일산종점,경기도 의왕시 안양판교로 476,경기도 의왕시 안양판교로 476,37.3933471,127.0231646,,19,Y,,,한국도로공사 수도권본부,02-2219-6000,2019-05-31
"성남",09,성남시,01,서울외곽선,100,퇴계원기점 + 구리종점,경기도 성남시 수정구 수진동 39-1,경기도 성남시 수정구 수진동 39-1,37.59692608,127.2180569,,78,Y,,,한국도로공사 수도권본부,02-2219-6000,2019-05-31
"구리남양주",09,구리시,01,서울외곽선,100,판교기점 + 일산종점,경기도 구리시 토평동 86,경기도 구리시 토평동 86,37.5897039311,127.155902005,,87,Y,,,한국도로공사 수도권본부,02-2219-6000,2019-05-31
"생태습지",09,여주시,01,영동선,50,인천기점 + 강릉종점,경기도 여주시 가남읍 안금리 92,경기도 여주시 가남읍 안금리 92,37.23675154,127.6082536,,14,Y,,,한국도로공사 강원본부,033-811-6000,2019-05-31
"적금",09,여주시,01,영동선,50,강릉기점 + 인천종점,경기도 여주시 강천면 적금리 269,경기도 여주시 강천면 적금리 269,37.25262665,127.7042447,,13,Y,,,한국도로공사 강원본부,033-811-6000,2019-05-31
"적금",09,여주시,01,영동선,50,인천기점 + 강릉종점,경기도 여주시 강천면 적금리 588-2,경기도 여주시 강천면 적금리 588-2,37.25262665,127.7042447,,13,Y,,,한국도로공사 강원본부,033-811-6000,2019-05-31
"소초",10,원주시,01,영동선,50,강릉기점 + 인천종점,강원도 원주시 소초면 평장리 산125-4,강원도 원주시 소초면 평장리 산125-4,37.42374757,128.0042184,,14,Y,,,한국도로공사 강원본부,033-811-6000,2019-05-31
"소초",10,원주시,01,영동선,50,인천기점 + 강릉종점,강원도 원주시 소초면 평장리 산125-4,강원도 원주시 소초면 평장리 산125-4,37.42374757,128.0042184,,13,Y,,,한국도로공사 강원본부,033-811-6000,2019-05-31
"삽교",10,횡성군,01,영동선,50,강릉기점 + 인천종점,강원도 횡성군 둔내면 삽교리 산120-11,강원도 횡성군 둔내면 삽교리 산120-11,37.52193394,128.2711282,,23,Y,,,한국도로공사 강원본부,033-811-6000,2019-05-31
"삽교",10,횡성군,01,영동선,50,인천기점 + 강릉종점,강원도 횡성군 둔내면 삽교리 1117-6,강원도 횡성군 둔내면 삽교리 1117-6,37.52193394,128.2711282,,5,Y,,,한국도로공사 강원본부,033-811-6000,2019-05-31
"월정",10,평창군,01,영동선,50,강릉기점 + 인천종점,강원도 평창군 진부면 간평리 562-2,강원도 평창군 진부면 간평리 562-2,37.66469915,128.593915,,11,Y,,,한국도로공사 강원본부,033-811-6000,2019-05-31
"월정",10,평창군,01,영동선,50,인천기점 + 강릉종점,강원도 평창군 대관령면 유천리 838-1,강원도 평창군 대관령면 유천리 838-1,37.66469915,128.593915,,16,Y,,,한국도로공사 강원본부,033-811-6000,2019-05-31
"대관령",10,평창군,01,영동선,50,강릉기점 + 인천종점,강원도 평창군 대관령면 횡계리 196-4,강원도 평창군 대관령면 횡계리 196-4,37.67544329,128.7196423,,19,Y,,,한국도로공사 강원본부,033-811-6000,2019-05-31
"대관령전망대",10,강릉시,01,영동선,50,인천기점 + 강릉종점,강원도 강릉시 성산면 어흘리 803,강원도 강릉시 성산면 어흘리 803,37.72419023,128.7783562,,19,Y,,,한국도로공사 강원본부,033-811-6000,2019-05-31
"홍천강",10,홍천군,01,중앙선,55,춘천기점 + 부산종점,강원도 홍천군 북방면 소매곡리 295-1,강원도 홍천군 북방면 소매곡리 295-1,37.71281723,127.8252451,,16,Y,,,한국도로공사 강원본부,033-811-6000,2019-05-31
"만종",10,원주시,01,중앙선,55,춘천기점 + 부산종점,강원도 원주시 호저면 만종리 산29-1,강원도 원주시 호저면 만종리 산29-1,37.3495499,127.9092195,,30,Y,,,한국도로공사 강원본부,033-811-6000,2019-05-31
"만종",10,원주시,01,중앙선,55,부산기점 + 춘천종점,강원도 원주시 호저면 만종리 392-1,강원도 원주시 호저면 만종리 392-1,37.3501018,127.9099017,,19,Y,,,한국도로공사 강원본부,033-811-6000,2019-05-31
"횡성",10,횡성군,01,중앙선,55,부산기점 + 춘천종점,강원도 횡성군 공근면 공근리 15-1,강원도 횡성군 공근면 공근리 15-1,37.579757,127.974514,,10,Y,,,한국도로공사 강원본부,033-811-6000,2019-05-31
"횡성",10,횡성군,01,중앙선,55,춘천기점 + 부산종점,강원도 횡성군 공근면 공근리 11-2,강원도 횡성군 공근면 공근리 11-2,37.581270,127.974414,,10,Y,,,한국도로공사 강원본부,033-811-6000,2019-05-31
"북방",10,홍천군,01,서울양양선,60,양양기점 + 서울종점,강원도 홍천군 북방면 성동리 산93-2,강원도 홍천군 북방면 성동리 산93-2,37.7588937,127.8758155,,5,Y,,,한국도로공사 강원본부,033-811-6000,2019-05-31
"서종",09,양평군,01,서울양양선,60,양양기점 + 서울종점,경기도 양평군 서종면 노문리 457-3,경기도 양평군 서종면 노문리 457-3,37.64949691,127.430264,,8,Y,,,한국도로공사 강원본부,033-811-6000,2019-05-31
"단봉",10,동해시,01,동해선,65,속초기점 + 삼척종점,강원도 동해시 단봉동 755-8,강원도 동해시 단봉동 755-8,37.46215861,129.1053045,,12,Y,,,한국도로공사 강원본부,033-811-6000,2019-05-31
"강현",10,양양군,01,동해선,65,속초기점 + 삼척종점,강원도 양양군 강현면 사교리 산92-1,강원도 양양군 강현면 사교리 산92-1,38.11654155,128.5806771,,11,Y,,,한국도로공사 강원본부,033-811-6000,2019-05-31
"강현",10,양양군,01,동해선,65,삼척기점 + 속초종점,강원도 양양군 강현면 침교리 산99-2,강원도 양양군 강현면 침교리 산99-2,38.11654155,128.5806771,,11,Y,,,한국도로공사 강원본부,033-811-6000,2019-05-31
"인제",10,인제군,01,서울양양선,60,서울기점 + 양양종점,강원도 인제군 상남면 상남리 1535-7,강원도 인제군 상남면 상남리 1535-7,37.84020193,128.2328562,,11,Y,,,한국도로공사 강원본부,033-811-6000,2019-05-31
"인제",10,인제군,01,서울양양선,60,양양기점 + 서울종점,강원도 인제군 상남면 상남리 1556-17,강원도 인제군 상남면 상남리 1556-17,37.84020193,128.2328562,,16,Y,,,한국도로공사 강원본부,033-811-6000,2019-05-31
"양양",10,양양군,01,서울양양선,60,서울기점 + 양양종점,강원도 양양군 서면 서림리 산1-51,강원도 양양군 서면 서림리 산1-51,37.99670385,128.5342401,,14,Y,,,한국도로공사 강원본부,033-811-6000,2019-05-31
"양양",10,양양군,01,서울양양선,60,양양기점 + 서울종점,강원도 양양군 서면 영덕리 산81-63,강원도 양양군 서면 영덕리 산81-63,37.99670385,128.5342401,,14,Y,,,한국도로공사 강원본부,033-811-6000,2019-05-31
"이천",09,이천시,01,영동선,50,강릉기점 + 인천종점,경기도 이천시 고담동 산78-4,경기도 이천시 고담동 산78-4,37.23973172,127.4570273,,7,N,,,한국도로공사 강원본부,033-811-6000,2019-05-31
"이천",09,이천시,01,영동선,50,인천기점 + 강릉종점,경기도 이천시 고담동 산77-8,경기도 이천시 고담동 산77-8,37.24276213,127.4676327,,11,Y,,,한국도로공사 강원본부,033-811-6000,2019-05-31
"여주",09,여주시,01,중부내륙선,45,창원기점 + 양평종점,경기도 여주시 흥천면 귀백리 261-7,경기도 여주시 흥천면 귀백리 261-7,37.33985425,127.5481991,,7,Y,,,한국도로공사 강원본부,033-811-6000,2019-05-31
"여주",09,여주시,01,중부내륙선,45,양평기점 + 창원종점,경기도 여주시 흥천면 귀백리 308-4,경기도 여주시 흥천면 귀백리 308-4,37.33985425,127.5481991,,8,Y,,,한국도로공사 강원본부,033-811-6000,2019-05-31
"모가",09,이천시,01,중부선,35,하남기점 + 통영종점,경기도 이천시 모가면 신갈리 587-1,경기도 이천시 모가면 신갈리 587-1,37.19897573,127.4436211,,9,Y,,,한국도로공사 충북본부,043-721-6000,2019-05-31
"모가",09,이천시,01,중부선,35,통영기점 + 하남종점,경기도 이천시 모가면 신갈리 25-11,경기도 이천시 모가면 신갈리 25-11,37.19897573,127.4436211,,9,Y,,,한국도로공사 충북본부,043-721-6000,2019-05-31
"일죽",09,안성시,01,중부선,35,하남기점 + 통영종점,경기도 안성시 일죽면 월정리 755,경기도 안성시 일죽면 월정리 755,37.08485268,127.4561122,,21,Y,,,한국도로공사 충북본부,043-721-6000,2019-05-31
"일죽",09,안성시,01,중부선,35,통영기점 + 하남종점,경기도 안성시 일죽면 월정리 755,경기도 안성시 일죽면 월정리 755,37.08485268,127.4561122,,9,Y,,,한국도로공사 충북본부,043-721-6000,2019-05-31
"대소",11,음성군,01,중부선,35,통영기점 + 하남종점,충청북도 음성군 대소면 오류리 208-7,충청북도 음성군 대소면 오류리 208-7,36.9770738779,127.469279264,,20,Y,,,한국도로공사 충북본부,043-721-6000,2019-05-31
"진천",11,진천군,01,중부선,35,통영기점 + 하남종점,충청북도 진천군 초평면 중석리 1215,충청북도 진천군 초평면 중석리 1215,36.85222888,127.4881004,,12,Y,,,한국도로공사 충북본부,043-721-6000,2019-05-31
"농다리",11,진천군,01,중부선,35,하남기점 + 통영종점,충청북도 진천군 문백면 구곡리 87,충청북도 진천군 문백면 구곡리 87,36.83508574,127.4943656,,18,Y,,,한국도로공사 충북본부,043-721-6000,2019-05-31
"오창",11,청주시,01,중부선,35,하남기점 + 통영종점,충청북도 청주시 청원구 오창읍 주성리 15-6,충청북도 청주시 청원구 오창읍 주성리 15-6,36.73215102,127.4543875,,9,Y,,,한국도로공사 충북본부,043-721-6000,2019-05-31
"오창",11,청주시,01,중부선,35,통영기점 + 하남종점,충청북도 청주시 청원구 오창읍 괴정리 46-1,충청북도 청주시 청원구 오창읍 괴정리 46-1,36.73215102,127.4543875,,17,Y,,,한국도로공사 충북본부,043-721-6000,2019-05-31
"봉양",11,제천시,01,중앙선,55,부산기점 + 춘천종점,충청북도 제천시 봉양읍 명암리 642-2,충청북도 제천시 봉양읍 명암리 642-2,37.17910719,128.128749,,7,Y,,,한국도로공사 충북본부,043-721-6000,2019-05-31
"가남",09,여주시,01,중부내륙선,45,양평기점 + 창원종점,경기도 여주시 가남읍 삼승리 143-1,경기도 여주시 가남읍 삼승리 143-1,37.17222546,127.6223679,,18,Y,,,한국도로공사 충북본부,043-721-6000,2019-05-31
"앙성",11,충주시,01,중부내륙선,45,창원기점 + 양평종점,충청북도 충주시 앙성면 지당리 731-17,충청북도 충주시 앙성면 지당리 731-17,37.10056482,127.7154845,,15,Y,,,한국도로공사 충북본부,043-721-6000,2019-05-31
"노은",11,충주시,01,중부내륙선,45,양평기점 + 창원종점,충청북도 충주시 노은면 신효리 679,충청북도 충주시 노은면 신효리 679,37.03961519,127.7733898,,18,Y,,,한국도로공사 충북본부,043-721-6000,2019-05-31
"대소원",11,충주시,01,중부내륙선,45,창원기점 + 양평종점,충청북도 충주시 대소원면 완오리 산38-1,충청북도 충주시 대소원면 완오리 산38-1,36.97390174,127.8475725,,18,Y,,,한국도로공사 충북본부,043-721-6000,2019-05-31
"회인",11,보은군,01,청주영덕선,30,영덕기점 + 청주종점,충청북도 보은군 회인면 용촌리 산28-6,충청북도 보은군 회인면 용촌리 산28-6,36.49866063,127.5955682,,7,N,,,한국도로공사 충북본부,043-721-6000,2019-05-31
"탄부",11,보은군,01,청주영덕선,30,영덕기점 + 청주종점,충청북도 보은군 탄부면 매화리 산1-2,충청북도 보은군 탄부면 매화리 산1-2,36.45461118,127.7690606,,7,N,,,한국도로공사 충북본부,043-721-6000,2019-05-31
"탄부",11,보은군,01,청주영덕선,30,청주기점 + 영덕종점,충청북도 보은군 탄부면 매화리 산1-2,충청북도 보은군 탄부면 매화리 산1-2,36.45461118,127.7690606,,7,Y,,,한국도로공사 충북본부,043-721-6000,2019-05-31
"상주",15,상주시,01,청주영덕선,30,영덕기점 + 청주종점,경상북도 상주시 내서면 고곡리 산254-1,경상북도 상주시 내서면 고곡리 산254-1,36.424042,128.0465982,,7,Y,,,한국도로공사 충북본부,043-721-6000,2019-05-31
"상주",15,상주시,01,청주영덕선,30,청주기점 + 영덕종점,경상북도 상주시 내서면 신촌리 산64-15,경상북도 상주시 내서면 신촌리 산64-15,36.40740432,128.0708421,,7,N,,,한국도로공사 충북본부,043-721-6000,2019-05-31
"중앙탑",11,충주시,01,평택제천선,40,제천기점 + 평택종점,충청북도 충주시 중앙탑면 하구암리 352-3,충청북도 충주시 중앙탑면 하구암리 352-3,37.0417919,127.835913,,14,Y,,,한국도로공사 충북본부,043-721-6000,2019-05-31
"중앙탑",11,충주시,01,평택제천선,40,평택기점 + 제천종점,충청북도 충주시 중앙탑면 하구암리 389,충청북도 충주시 중앙탑면 하구암리 389,37.0417919,127.835913,,14,Y,,,한국도로공사 충북본부,043-721-6000,2019-05-31
"금성",11,제천시,01,평택제천선,40,제천기점 + 평택종점,충청북도 제천시 금성면 사곡리 373-1,충청북도 제천시 금성면 사곡리 373-1,37.07784755,128.1543694,,12,Y,,,한국도로공사 충북본부,043-721-6000,2019-05-31
"금성",11,제천시,01,평택제천선,40,평택기점 + 제천종점,충청북도 제천시 금성면 사곡리 376-1,충청북도 제천시 금성면 사곡리 376-1,37.07784755,128.1543694,,12,Y,,,한국도로공사 충북본부,043-721-6000,2019-05-31
"문경",15,문경시,01,중부내륙선,45,양평기점 + 창원종점,경상북도 문경시 문경읍 각서리 18-3,경상북도 문경시 문경읍 각서리 18-3,36.74713043,128.0617772,,14,Y,,,한국도로공사 충북본부,043-721-6000,2019-05-31
"사벌",15,상주시,01,중부내륙선,45,양평기점 + 창원종점,경상북도 상주시 사벌면 덕담리 1458-9,경상북도 상주시 사벌면 덕담리 1458-9,36.47186539,128.201102,,12,Y,,,한국도로공사 충북본부,043-721-6000,2019-05-31
"낙상",15,상주시,01,중부내륙선,45,창원기점 + 양평종점,경상북도 상주시 낙상동 산57,경상북도 상주시 낙상동 산57,36.44616286,128.2065185,,7,Y,,,한국도로공사 충북본부,043-721-6000,2019-05-31
"연곡",12,천안시,01,경부선,1,서울기점 + 부산종점,충청남도 천안시 서북구 입장면 연곡리 243-5,충청남도 천안시 서북구 입장면 연곡리 243-5,36.95551299,127.1819055,,48,Y,,,한국도로공사 대전충남본부,042-722-6000,2019-05-31
"입장",12,천안시,01,경부선,1,서울기점 + 부산종점,충청남도 천안시 서북구 입장면 용정리 48-19,충청남도 천안시 서북구 입장면 용정리 48-19,36.9142961,127.1885394,,10,Y,,,한국도로공사 대전충남본부,042-722-6000,2019-05-31
"신탄진",06,대덕구,01,경부선,1,서울기점 + 부산종점,대전광역시 대덕구 상서동 산66-11,대전광역시 대덕구 상서동 산66-11,36.42173582,127.4182949,,11,Y,,,한국도로공사 대전충남본부,042-722-6000,2019-05-31
"서대전",06,유성구,01,호남지선,251,회턱기점 + 논산종점,대전광역시 유성구 대정동 55-5,대전광역시 유성구 대정동 55-5,36.31565236,127.3067829,,9,Y,,,한국도로공사 대전충남본부,042-722-6000,2019-05-31
"유성",06,유성구,01,호남지선,251,논산기점 + 회덕종점,대전광역시 유성구 죽동 2-2,대전광역시 유성구 죽동 2-2,36.38288108,127.3364895,,9,N,,,한국도로공사 대전충남본부,042-722-6000,2019-05-31
"북대전",06,유성구,01,호남지선,251,회덕기점 + 논산종점,대전광역시 유성구 방현동 403,대전광역시 유성구 방현동 403,36.40636609,127.3679947,,10,Y,,,한국도로공사 대전충남본부,042-722-6000,2019-05-31
"북대전",06,유성구,01,호남지선,251,논산기점 + 회덕종점,대전광역시 유성구 방현동 89,대전광역시 유성구 방현동 89,36.40636609,127.3679947,,13,Y,,,한국도로공사 대전충남본부,042-722-6000,2019-05-31
"옥천",11,옥천군,01,경부선,1,서울기점 + 부산종점,충청북도 옥천군 군북면 이백리 산23-10,충청북도 옥천군 군북면 이백리 산23-10,36.32920594,127.5392257,,7,Y,,,한국도로공사 대전충남본부,042-722-6000,2019-05-31
"옥천",11,옥천군,01,경부선,1,부산기점 + 서울종점,충청북도 옥천군 군북면 증약리 156-2,충청북도 옥천군 군북면 증약리 156-2,36.33478026,127.5304748,,7,Y,,,한국도로공사 대전충남본부,042-722-6000,2019-05-31
"청성",11,옥천군,01,경부선,1,부산기점 + 서울종점,충청북도 옥천군 청성면 조천리 1100-19,충청북도 옥천군 청성면 조천리 1100-19,36.27105807,127.7422933,,11,Y,,,한국도로공사 대전충남본부,042-722-6000,2019-05-31
"추풍령",11,영동군,01,경부선,1,서울기점 + 부산종점,충청북도 영동군 추풍령면 추풍령리 604-2,충청북도 영동군 추풍령면 추풍령리 604-2,36.21099235,127.9848295,,12,Y,,,한국도로공사 대전충남본부,042-722-6000,2019-05-31
"추풍령",11,영동군,01,경부선,1,부산기점 + 서울종점,충청북도 영동군 추풍령면 추풍령리 557-3,충청북도 영동군 추풍령면 추풍령리 557-3,36.21099235,127.9848295,,10,Y,,,한국도로공사 대전충남본부,042-722-6000,2019-05-31
"산내",06,동구,01,대전남부순환선,300,서대전기점 + 산내종점,대전광역시 동구 이사동 산16,대전광역시 동구 이사동 산16,36.27892696,127.4440368,,7,Y,,,한국도로공사 대전충남본부,042-722-6000,2019-05-31
"당진",12,당진시,01,서해안선,15,서울기점 + 목포종점,충청남도 당진시 송악읍 영천리 366-12,충청남도 당진시 송악읍 영천리 366-12,36.9007506174,126.718470196,,19,Y,,,한국도로공사 대전충남본부,042-722-6000,2019-05-31
"당진",12,당진시,01,서해안선,15,목포기점 + 서울종점,충청남도 당진시 송악읍 영천리 366-12,충청남도 당진시 송악읍 영천리 366-12,36.9007506174,126.718470196,,20,Y,,,한국도로공사 대전충남본부,042-722-6000,2019-05-31
"용연",12,당진시,01,서해안선,15,목포기점 + 서울종점,충청남도 당진시 용연동 산119-2,충청남도 당진시 용연동 산119-2,36.86183421,126.6487975,,7,N,,,한국도로공사 대전충남본부,042-722-6000,2019-05-31
"해미",12,서산시,01,서해안선,15,서울기점 + 목포종점,충청남도 서산시 고북면 신송리 산74-3,충청남도 서산시 고북면 신송리 산74-3,36.65311186,126.5585183,,7,N,,,한국도로공사 대전충남본부,042-722-6000,2019-05-31
"해미",12,홍성군,01,서해안선,15,목포기점 + 서울종점,충청남도 홍성군 갈산면 대사리 263,충청남도 홍성군 갈산면 대사리 263,36.63565417,126.5530902,,7,N,,,한국도로공사 대전충남본부,042-722-6000,2019-05-31
"서산",12,서산시,01,서해안선,15,서울기점 + 목포종점,충청남도 서산시 운산면 안호리 16-16도,충청남도 서산시 운산면 안호리 16-16도,36.830480,126.589944,,11,Y,,,한국도로공사 대전충남본부,042-722-6000,2019-05-31
"금남",08,없음,01,당진대전선,30,당진기점 + 대전종점,세종특별자치시 금남면 영곡리 435-2,세종특별자치시 금남면 영곡리 435-2,36.45063344,127.2540867,,7,Y,,,한국도로공사 대전충남본부,042-722-6000,2019-05-31
"시초",12,서천군,01,서천공주선,151,공주기점 + 서천종점,충청남도 서천군 시초면 봉선리 673-12,충청남도 서천군 시초면 봉선리 673-12,36.13643462,126.7681851,,7,Y,,,한국도로공사 대전충남본부,042-722-6000,2019-05-31
"부여",12,부여군,01,서천공주선,151,서천기점 + 공주종점,충청남도 부여군 규암면 신성리 420-4,충청남도 부여군 규암면 신성리 420-4,36.32040515,126.8755077,,7,Y,,,한국도로공사 대전충남본부,042-722-6000,2019-05-31
"삼례",13,완주군,01,호남선,25,천안기점 + 순천종점,전라북도 완주군 삼례읍 해전리 4-20,전라북도 완주군 삼례읍 해전리 4-20,35.90117103,127.0575618,,7,N,,,한국도로공사 전북본부,063-714-6000,2019-05-31
"삼례",13,익산시,01,호남선,25,순천기점 + 천안종점,전라북도 익산시 왕궁면 온수리 340-3,전라북도 익산시 왕궁면 온수리 340-3,35.91596774,127.0667363,,10,Y,,,한국도로공사 전북본부,063-714-6000,2019-05-31
"전주",13,전주시,01,호남선,25,천안기점 + 순천종점,전라북도 전주시 덕진구 장동 957-31,전라북도 전주시 덕진구 장동 957-31,35.8659049,127.0512435,,17,Y,,,한국도로공사 전북본부,063-714-6000,2019-05-31
"전주",13,전주시,01,호남선,25,순천기점 + 천안종점,전라북도 전주시 덕진구 장동 산17-6,전라북도 전주시 덕진구 장동 산17-6,35.8659049,127.0512435,,7,Y,,,한국도로공사 전북본부,063-714-6000,2019-05-31
"서전주",13,완주군,01,호남선,25,순천기점 + 천안종점,전라북도 완주군 이서면 상개리 379-6,전라북도 완주군 이서면 상개리 379-6,35.81596269,127.0288358,,8,Y,,,한국도로공사 전북본부,063-714-6000,2019-05-31
"태인",13,정읍시,01,호남선,25,순천기점 + 천안종점,전라북도 정읍시 태인면 오봉리 150-3,전라북도 정읍시 태인면 오봉리 150-3,35.66322719,126.9317381,,14,Y,,,한국도로공사 전북본부,063-714-6000,2019-05-31
"정우",13,정읍시,01,호남선,25,천안기점 + 순천종점,전라북도 정읍시 정우면 우산리 216-2,전라북도 정읍시 정우면 우산리 216-2,35.63759295,126.9044468,,13,Y,,,한국도로공사 전북본부,063-714-6000,2019-05-31
"정우",13,정읍시,01,호남선,25,순천기점 + 천안종점,전라북도 정읍시 정우면 우산리 산59-8,전라북도 정읍시 정우면 우산리 산59-8,35.63759295,126.9044468,,15,Y,,,한국도로공사 전북본부,063-714-6000,2019-05-31
"내장산",13,정읍시,01,호남선,25,천안기점 + 순천종점,전라북도 정읍시 입암면 하부리 793-2,전라북도 정읍시 입암면 하부리 793-2,35.49864229,126.7987584,,6,Y,,,한국도로공사 전북본부,063-714-6000,2019-05-31
"내장산",13,정읍시,01,호남선,25,순천기점 + 천안종점,전라북도 정읍시 입암면 마석리 65-1,전라북도 정읍시 입암면 마석리 65-1,35.54064329,126.8153258,,13,Y,,,한국도로공사 전북본부,063-714-6000,2019-05-31
"서김제",13,김제시,01,서해안선,15,서울기점 + 목포종점,전라북도 김제시 만경읍 장산리 1124-2,전라북도 김제시 만경읍 장산리 1124-2,35.85386832,126.8429565,,6,N,,,한국도로공사 전북본부,063-714-6000,2019-05-31
"서김제",13,김제시,01,서해안선,15,목포기점 + 서울종점,전라북도 김제시 만경읍 장산리 140-14,전라북도 김제시 만경읍 장산리 140-14,35.85386832,126.8429565,,9,Y,,,한국도로공사 전북본부,063-714-6000,2019-05-31
"줄포",13,고창군,01,서해안선,15,서울기점 + 목포종점,전라북도 고창군 흥덕면 신덕리 641-8,전라북도 고창군 흥덕면 신덕리 641-8,35.57241514,126.6955149,,7,Y,,,한국도로공사 전북본부,063-714-6000,2019-05-31
