연번,장기요양기관,급여종류,정원,현원,잔여,대기,주소,전화번호,위도,경도
16,평화재가복지센터,방문요양,-,-,-,-, 부산광역시 서구 구덕로  165 2층 (아미동1가),051-911-1153,35.0993459176386,129.01952995248
17,인창서구재가노인복지센터,방문요양,-,-,-,-," 부산광역시 서구 망양로  72-1 (동대신동3가, 보현빌딩)",051-242-0906,35.1154261584694,129.016953991395
18,부산서구지역자활센터,방문요양,-,-,-,-, 부산광역시 서구 대영로45번길  102 3층 (서대신동3가),051-253-1957,35.1138896987853,129.014215323381
19,더조은재가복지센터,방문요양,-,-,-,-, 부산광역시 서구 충무대로241번길  5-3 (남부민동),051-208-1448,35.0920856175941,129.023736473381
20,서연재가노인복지시설,방문요양,-,-,-,-," 부산광역시 서구 보수대로154번길  29 상가 301동111호 (동대신동1가, 동대신역 비스타 동원 아파트)",051-207-7611,35.1103728686337,129.022816608344
21,건강한노인재가복지,방문요양,-,-,-,-," 부산광역시 서구 대영로73번길  39 105호 (동대신동2가, 삼익아파트)",051-257-1166,35.1127005730432,129.018641200354
22,행복노인재가센터,방문요양,-,-,-,-, 부산광역시 서구 충무시장길  53 (충무동3가),051-418-4114,35.0940022432281,129.02333155871
23,로드웨이 노인복지센터,방문요양,-,-,-,-, 부산광역시 서구 보수대로  15 (토성동1가),051-242-3903,35.0983169479534,129.024461900083
24,마음재가복지센터,방문요양,-,-,-,-, 부산광역시 서구 구덕로214번길  10 3층 (부민동1가),051-257-0257,35.1036862733037,129.020685927302
25,보람재가복지센터,방문요양,-,-,-,-," 부산광역시 서구 대티로  159 117동302호 (서대신동3가, 협성르네상스)",051-246-8086,35.1130974382768,129.010538391209
26,대신노인재가복지센터,방문요양,-,-,-,-, 부산광역시 서구 망양로  54 2층 (서대신동3가),051-248-1101,35.1147802401881,129.015028432804
27,진사랑방문요양센터,방문요양,-,-,-,-, 부산광역시 서구 대영로  92 2층 (동대신동1가),051-710-9843,35.1110502908388,129.021077017092
28,(주)해든실버데이케어,방문요양,-,-,-,-," 부산광역시 서구 꽃마을로  43 상가동203호 (서대신동3가, 남성한빛가든아파트)",051-243-0005,35.1175411470475,129.011309173693
29,영락재가복지센터,방문요양,-,-,-,-, 부산광역시 서구 대청로6번길  15 1층 (부민동1가),051-254-2520,35.1025786797797,129.02055364105
30,초록숲재가복지센터,방문요양,-,-,-,-, 부산광역시 서구 구덕로  297 4층 (서대신동2가),051-242-7141,35.1105036314378,129.017367385726
31,효송주야간보호센터,방문요양,-,-,-,-, 부산광역시 서구 암남로14번길  12 (암남동),051-242-7085,35.0792582317386,129.015504340039
32,옹달샘재가복지센터,방문요양,-,-,-,-," 부산광역시 서구 보수대로  141 1층101호 (동대신동1가, 미소지음5차)",051-245-7778,35.1081923269658,129.02229630285
33,은빛재가복지센터,방문요양,-,-,-,-, 부산광역시 서구 보수대로264번길  24 2층 (동대신동3가),051-245-3577,35.1188076676116,129.017309589084
34,충무효노인복지센터,방문요양,-,-,-,-," 부산광역시 서구 충무대로255번길  9 306호 (남부민동, 충무쇼핑맨션)",051-711-1993,35.0930541909753,129.023262189766
35,자애노인종합복지센터,방문요양,-,-,-,-, 부산광역시 서구 천마로  191-1 (남부민동),051-242-5733,35.0926805651586,129.022084813734
36,코끼리재가복지센터,방문요양,-,-,-,-," 부산광역시 서구 구덕로118번길  18 103호 (충무동1가, 에코펠리스 충무7차)",051-247-4989,35.0970739269777,129.02405890084
37,함께재가노인복지센터,방문요양,-,-,-,-, 부산광역시 서구 대영로111번길  24 1층 (동대신동2가),070-4038-8278,35.1129185668185,129.022640352739
38,더드림재가복지센터,방문요양,-,-,-,-, 부산광역시 서구 구덕로  164-2 3층 (토성동3가),051-243-1925,35.0991167718877,129.020069271539
39,서구케어재가노인주간보호센터,방문요양,-,-,-,-, 부산광역시 서구 구덕로  249 2~4층 (부용동2가),051-925-9972,35.0991167718877,129.020069271539
40,서연재가노인복지시설,방문목욕,-,-,-,-," 부산광역시 서구 보수대로154번길  29 상가 301동111호 (동대신동1가, 동대신역 비스타 동원 아파트)",051-207-7611,35.1103728686337,129.022816608344
41,세광재가노인복지센터,방문목욕,-,-,-,-, 부산광역시 서구 해돋이로  259 (아미동2가),051-247-0675,35.0996613626681,129.015982560783
42,가족사랑재가복지센터,방문목욕,-,-,-,-, 부산광역시 서구 구덕로  284-1 3층 (동대신동1가),051-242-6222,35.1094916821085,129.018402142852
43,보람재가복지센터,방문목욕,-,-,-,-," 부산광역시 서구 대티로  159 117동302호 (서대신동3가, 협성르네상스)",051-246-8086,35.1130974382768,129.010538391209
44,자애노인종합복지센터,방문목욕,-,-,-,-, 부산광역시 서구 천마로  191-1 (남부민동),051-242-5733,35.0926805651586,129.022084813734
45,더조은재가복지센터,방문목욕,-,-,-,-, 부산광역시 서구 충무대로241번길  5-3 (남부민동),051-208-1448,35.0920856175941,129.023736473381
46,(주)해든실버데이케어,방문목욕,-,-,-,-," 부산광역시 서구 꽃마을로  43 상가동203호 (서대신동3가, 남성한빛가든아파트)",051-243-0005,35.1175411470475,129.011309173693
47,초장재가노인복지센터,방문목욕,-,-,-,-, 부산광역시 서구 해돋이로  203 1층 (초장동),051-242-2303,35.0951823956857,129.018712565914
48,(주)가온누리종합복지센터,방문목욕,-,-,-,-," 부산광역시 서구 구덕로286번길  3 302,303호 (동대신동1가)",051-242-7355,35.0951823956857,129.018712565914
49,함께재가노인복지센터,방문목욕,-,-,-,-, 부산광역시 서구 대영로111번길  24 1층 (동대신동2가),070-4038-8278,35.1129185668185,129.022640352739
50,영락재가복지센터,방문목욕,-,-,-,-, 부산광역시 서구 대청로6번길  15 1층 (부민동1가),051-254-2520,35.1025786797797,129.02055364105
51,마음재가복지센터,방문목욕,-,-,-,-, 부산광역시 서구 구덕로214번길  10 3층 (부민동1가),051-257-0257,35.1036862733037,129.020685927302
52,코끼리재가복지센터,방문목욕,-,-,-,-," 부산광역시 서구 구덕로118번길  18 103호 (충무동1가, 에코펠리스 충무7차)",051-247-4989,35.0970739269777,129.02405890084
53,로드웨이 노인복지센터,방문목욕,-,-,-,-, 부산광역시 서구 보수대로  15 (토성동1가),051-242-3903,35.0983169479534,129.024461900083
54,옹달샘재가복지센터,방문목욕,-,-,-,-," 부산광역시 서구 보수대로  141 1층101호 (동대신동1가, 미소지음5차)",051-245-7778,35.1081923269658,129.02229630285
55,구덕재가노인복지센터,방문목욕,-,-,-,-, 부산광역시 서구 꽃마을로  48 301동1층102호 (서대신동3가),051-256-3111,35.1183783315399,129.012199836572
56,가정요양재가복지센터,방문목욕,-,-,-,-," 부산광역시 서구 구덕로  350 2층10호 (동대신동3가, 문화아파트)",051-417-1021,35.1150726941653,129.01590480137
57,(주)가온누리종합복지센터,복지용구,-,-,-,-," 부산광역시 서구 구덕로286번길  3 302,303호 (동대신동1가)",051-242-7355,35.1150726941653,129.01590480137
58,동진의료기,복지용구,-,-,-,-, 부산광역시 서구 대신공원로  17 (동대신동3가),051-247-3136,35.1195152655996,129.016156646628
59,안나노인건강센터,노인요양시설(개정법),80,62,18,0, 부산광역시 서구 꽃마을로163번길  94-16 (서대신동3가),051-245-0035,35.1277283699183,129.00478102296
60,실버웰요양센터,노인요양시설(개정법),150,46,104,0, 부산광역시 서구 시약로  35 (서대신동3가),051-242-8050,35.1126337583154,129.008502036752
61,송도사랑요양원,노인요양시설(개정법),100,100,0,13, 부산광역시 서구 암남공원로  522 (암남동),051-255-3315,35.0797369885957,129.012137977952
