장기요양기관내역,,,,,,,,,,
,,,,,,,,,,
연번,장기요양기관,급여종류,평가결과,정원,현원,잔여,대기,방문목욕차량,주소,전화번호
89,부산사랑노인복지센터주식회사,방문목욕,평가비대상,-,-,-,-,무," 부산광역시 영도구 태종로  382 2층 (청학동, 동구빌딩)",051-853-2323
90,버드나무재가복지센터,방문목욕,신설기관,-,-,-,-,무, 부산광역시 영도구 절영로94번길  2 2층201호 (남항동3가),051-414-0202
91,로뎀재가노인복지센터,복지용구,"D (보통)
2023
정기평가",-,-,-,-,, 부산광역시 영도구 태종로  356 (청학동),051-414-5279
92,해동복지용구,복지용구,"D (보통)
2024
정기평가",-,-,-,-,, 부산광역시 영도구 절영로13번길  72 (영선동1가),051-412-2270
93,영도 의료기,복지용구,"E (미흡)
2024
정기평가",-,-,-,-,, 부산광역시 영도구 태종로  76 (대교동1가),051-412-8353
94,효진복지용구,복지용구,신설기관,-,-,-,-,, 부산광역시 영도구 절영로101번길  6 (영선동3가),051-711-0807
95,신기의료기 영도점,복지용구,신설기관,-,-,-,-,, 부산광역시 영도구 동삼서로  33 1층 (동삼동),051-915-6564
96,드림복지용구,복지용구,신설기관,-,-,-,-,," 부산광역시 영도구 남항새싹길  81 7동1층2호 (영선동4가, 영도대원아파트 상가)",051-414-5015
97,영도요양원,노인요양시설(개정법),"A (최우수)
2025
정기평가",29,29,0,0,," 부산광역시 영도구 중리로  35 101~401호 (동삼동, 영도빌딩)",051-405-7888
98,파랑새노인건강센터,노인요양시설(개정법),"A (최우수)
2025
정기평가",123,88,35,0,, 부산광역시 영도구 와치로  78 (청학동),051-412-5422
99,부산사랑실버홈,노인요양시설(개정법),"C (양호)
2025
정기평가",14,13,1,0,," 부산광역시 영도구 태종로  382 2층 (청학동, 동구빌딩)",051-853-2323
