연번,장기요양기관,급여종류,정원,현원,잔여,대기,주소,전화번호,위도,경도
35,로뎀재가노인복지센터,방문요양,-,-,-,-, 부산광역시 영도구 태종로  356 (청학동),051-414-5279,35.0949512130967,129.063868741156
36,늘봄재가복지센터,방문요양,-,-,-,-, 부산광역시 영도구 절영로  504-12 상가동201호 (동삼동),051-403-1337,35.0713453228589,129.071170717172
37,고운손재가복지센터,방문요양,-,-,-,-, 부산광역시 영도구 동삼남로31번길  3 1층 (동삼동),051-403-4464,35.0778613336025,129.06904366927
38,와치노인복지센터,방문요양,-,-,-,-, 부산광역시 영도구 함지로79번길  76 (동삼동),051-403-4200,35.0759978094185,129.065523726783
39,편한방문요양센터,방문요양,-,-,-,-, 부산광역시 영도구 영도새싹길  20 (신선동1가),051-255-6405,35.0901688410322,129.045253320377
40,로뎀나무노인복지센터,방문요양,-,-,-,-," 부산광역시 영도구 태종로  393 상가동201호 (청학동, 원우아파트)",051-418-8566,35.0921168171624,129.066134750641
41,(주)화랑사회서비스복지센터,방문요양,-,-,-,-, 부산광역시 영도구 태종로  75 3층 (대교동1가),051-418-6424,35.0925887165696,129.039474831901
42,건강재가복지센터,방문요양,-,-,-,-," 부산광역시 영도구 태종로  424 (청학동, 동창약국 2층)",051-417-1761,35.0898845611786,129.067322059321
43,동삼장기요양기관,방문요양,-,-,-,-," 부산광역시 영도구 상리로  30 (동삼동, 동삼사회복지관 1층)",051-405-2133,35.0833308820196,129.066836510562
44,명봉재가복지센터,방문요양,-,-,-,-, 부산광역시 영도구 상리로  63-4 7703동207호 (동삼동),051-403-7051,35.085635453399,129.070817122248
45,선한노인복지센터,방문요양,-,-,-,-," 부산광역시 영도구 꿈나무길  60 3층 (영선동1가, 정원빌딩)",051-415-5552,35.0889494658427,129.044328985437
46,부산사랑노인복지센터주식회사,방문요양,-,-,-,-," 부산광역시 영도구 태종로  382 2층 (청학동, 동구빌딩)",051-853-2323,35.0928776133579,129.065276476472
47,더나은 재가복지센터,방문요양,-,-,-,-, 부산광역시 영도구 대평로  9 3층 (대평동1가),051-413-6513,35.09035001878,129.035883286128
48,스마일노인복지센터,방문요양,-,-,-,-, 부산광역시 영도구 일산봉로  84 302호 (청학동),051-711-0182,35.0896272784789,129.064916562694
49,다함실버재가복지센터,방문요양,-,-,-,-," 부산광역시 영도구 절영로42번길  1 4층 (남항동1가, 고연빌딩)",051-414-7511,35.0906669418877,129.038656411871
50,바른재가노인복지센터,방문요양,-,-,-,-," 부산광역시 영도구 태종로  107 1511호 (영선동1가, 오션트라움)",070-4007-4999,35.0913073200108,129.042740161086
51,버드나무재가복지센터,방문요양,-,-,-,-, 부산광역시 영도구 절영로94번길  2 2층201호 (남항동3가),051-414-0202,35.0862483389477,129.039618313826
52,동현재가복지센터,방문요양,-,-,-,-, 부산광역시 영도구 개나리길  1 3층 (영선동2가),051-412-6588,35.086513503805,129.043340117476
53,강남 재가복지센터,방문요양,-,-,-,-," 부산광역시 영도구 해안산책길  30 상가동306호 (영선동4가, 영선동반도보라아파트)",051-414-1008,35.0824525021607,129.040431961441
54,가족사랑재가복지센터,방문요양,-,-,-,-, 부산광역시 영도구 봉래길  125 1층 (봉래동5가),051-414-1456,35.0922524479015,129.05341309648
55,봉봉재활주간보호센터,방문요양,-,-,-,-, 부산광역시 영도구 와치로  235 1층 (동삼동),051-404-1233,35.0758736195678,129.067432699482
56,엘림재가복지센터,방문요양,-,-,-,-, 부산광역시 영도구 동삼로108번길  7 (동삼동),051-403-2770,35.0827898657922,129.071964692742
57,이레재가복지센터,방문요양,-,-,-,-," 부산광역시 영도구 함지로  17 A상가동202호 (동삼동, 반도보라비치타운)",051-403-0867,35.0712385896703,129.060479127488
58,효심재가복지센터,방문요양,-,-,-,-," 부산광역시 영도구 대교로6번길  30 303호 (봉래동3가, 리치업오피스텔)",051-412-4616,35.0944110544753,129.04504329
59,다온건강재가복지센터,방문요양,-,-,-,-, 부산광역시 영도구 청학동로  76-1 2층 (청학동),051-405-1300,35.0938957052614,129.064406582786
60,(주)늘푸른재가노인복지센터,방문요양,-,-,-,-, 부산광역시 영도구 남항새싹길  244 1층 (영선동4가),051-403-0101,35.0810483483564,129.042643802602
61,(주)제일편한복지센터,방문요양,-,-,-,-, 부산광역시 영도구 번영길  32 1층 (신선동1가),051-414-7650,35.092088623497,129.045946737028
62,로뎀나무노인복지센터,방문목욕,-,-,-,-," 부산광역시 영도구 태종로  393 상가동201호 (청학동, 원우아파트)",051-418-8566,35.0921168171624,129.066134750641
63,효심재가복지센터,방문목욕,-,-,-,-," 부산광역시 영도구 대교로6번길  30 303호 (봉래동3가, 리치업오피스텔)",051-412-4616,35.0944110544753,129.04504329
64,동현재가복지센터,방문목욕,-,-,-,-, 부산광역시 영도구 개나리길  1 3층 (영선동2가),051-412-6588,35.086513503805,129.043340117476
65,다온건강재가복지센터,방문목욕,-,-,-,-, 부산광역시 영도구 청학동로  76-1 2층 (청학동),051-405-1300,35.0938957052614,129.064406582786
66,로뎀재가노인복지센터,방문목욕,-,-,-,-, 부산광역시 영도구 태종로  356 (청학동),051-414-5279,35.0949512130967,129.063868741156
67,샬롬재가복지센터,방문목욕,-,-,-,-, 부산광역시 영도구 절영로  126 (영선동3가),051-416-8926,35.085060929675,129.04228494815
68,(주)윤정은빛종합복지센터,방문목욕,-,-,-,-, 부산광역시 영도구 남항로  48 2층 (영선동2가),051-417-1113,35.0882968959349,129.041421997209
69,와치노인복지센터,방문목욕,-,-,-,-, 부산광역시 영도구 함지로79번길  76 (동삼동),051-403-4200,35.0759978094185,129.065523726783
70,평화재가복지센터,방문목욕,-,-,-,-, 부산광역시 영도구 태종로  387 2층 (청학동),051-414-1109,35.0925862966301,129.065824577434
71,(주)제일편한복지센터,방문목욕,-,-,-,-, 부산광역시 영도구 번영길  32 1층 (신선동1가),051-414-7650,35.092088623497,129.045946737028
72,가람노인복지센터,방문목욕,-,-,-,-," 부산광역시 영도구 한결길  25 102호,103호 (봉래동3가)",051-412-8889,35.0915854570916,129.045399222892
73,(주)두레재가센터,방문목욕,-,-,-,-," 부산광역시 영도구 태종로  39 1205호 (대교동1가, 영도해안루미너스오피스텔)",051-403-6588,35.0945978765904,129.037251591465
74,(주)사랑나눔복지센터,방문목욕,-,-,-,-, 부산광역시 영도구 한사랑길  114 (영선동1가),051-412-3315,35.0892683141725,129.044515217671
75,효사랑재가복지센터,방문목욕,-,-,-,-, 부산광역시 영도구 일산봉로  64 201호 (청학동),051-414-3588,35.0877964305585,129.064865463424
76,가족사랑재가복지센터,방문목욕,-,-,-,-, 부산광역시 영도구 봉래길  125 1층 (봉래동5가),051-414-1456,35.0922524479015,129.05341309648
77,(주)금잔디복지센터,방문목욕,-,-,-,-, 부산광역시 영도구 동삼로50번길  18 (동삼동),051-404-2420,35.0775673653626,129.071566327416
78,함께재가복지센터,방문목욕,-,-,-,-, 부산광역시 영도구 절영로  161 2호 (영선동4가),051-416-8302,35.0819872448666,129.041490569078
79,더나은 재가복지센터,방문목욕,-,-,-,-, 부산광역시 영도구 대평로  9 3층 (대평동1가),051-413-6513,35.09035001878,129.035883286128
80,늘봄재가복지센터,방문목욕,-,-,-,-, 부산광역시 영도구 절영로  504-12 상가동201호 (동삼동),051-403-1337,35.0713453228589,129.071170717172
81,(주)참사랑재가복지센터,방문목욕,-,-,-,-," 부산광역시 영도구 태종로  519 1층102호 (동삼동, 조은아크로빌)",051-403-9944,35.0846323395163,129.074065252467
82,희망영도노인복지센터,방문목욕,-,-,-,-, 부산광역시 영도구 절영로  97 (영선동3가),051-412-1999,35.0863580706455,129.040203865151
83,다함실버재가복지센터,방문목욕,-,-,-,-," 부산광역시 영도구 절영로42번길  1 4층 (남항동1가, 고연빌딩)",051-414-7511,35.0906669418877,129.038656411871
84,선한노인복지센터,방문목욕,-,-,-,-," 부산광역시 영도구 꿈나무길  60 3층 (영선동1가, 정원빌딩)",051-415-5552,35.0889494658427,129.044328985437
85,고운손재가복지센터,방문목욕,-,-,-,-, 부산광역시 영도구 동삼남로31번길  3 1층 (동삼동),051-403-4464,35.0778613336025,129.06904366927
86,건강재가복지센터,방문목욕,-,-,-,-," 부산광역시 영도구 태종로  424 (청학동, 동창약국 2층)",051-417-1761,35.0898845611786,129.067322059321
87,안정재가노인복지센터,방문목욕,-,-,-,-, 부산광역시 영도구 참샘길  109 (신선동1가),051-416-8291,35.0888967118855,129.048019839269
88,㈜금빛종합복지센터,방문목욕,-,-,-,-, 부산광역시 영도구 영선대로  47-1 2층 (영선동3가),051-417-0909,35.0855561458353,129.040566071478
89,부산사랑노인복지센터주식회사,방문목욕,-,-,-,-," 부산광역시 영도구 태종로  382 2층 (청학동, 동구빌딩)",051-853-2323,35.0928776133579,129.065276476472
90,버드나무재가복지센터,방문목욕,-,-,-,-, 부산광역시 영도구 절영로94번길  2 2층201호 (남항동3가),051-414-0202,35.0862483389477,129.039618313826
91,로뎀재가노인복지센터,복지용구,-,-,-,-, 부산광역시 영도구 태종로  356 (청학동),051-414-5279,35.0949512130967,129.063868741156
92,해동복지용구,복지용구,-,-,-,-, 부산광역시 영도구 절영로13번길  72 (영선동1가),051-412-2270,35.0916584513182,129.043785913157
93,영도 의료기,복지용구,-,-,-,-, 부산광역시 영도구 태종로  76 (대교동1가),051-412-8353,35.0922160659275,129.039218634609
94,효진복지용구,복지용구,-,-,-,-, 부산광역시 영도구 절영로101번길  6 (영선동3가),051-711-0807,35.0863300318808,129.040707815361
95,신기의료기 영도점,복지용구,-,-,-,-, 부산광역시 영도구 동삼서로  33 1층 (동삼동),051-915-6564,35.0819194206907,129.069010450811
96,드림복지용구,복지용구,-,-,-,-," 부산광역시 영도구 남항새싹길  81 7동1층2호 (영선동4가, 영도대원아파트 상가)",051-414-5015,35.0813473704741,129.042873036647
97,영도요양원,노인요양시설(개정법),29,29,0,0," 부산광역시 영도구 중리로  35 101~401호 (동삼동, 영도빌딩)",051-405-7888,35.0813473704741,129.042873036647
98,파랑새노인건강센터,노인요양시설(개정법),123,88,35,0, 부산광역시 영도구 와치로  78 (청학동),051-412-5422,35.0859515078014,129.059603122949
99,부산사랑실버홈,노인요양시설(개정법),14,13,1,0," 부산광역시 영도구 태종로  382 2층 (청학동, 동구빌딩)",051-853-2323,35.0928776133579,129.065276476472
